,Encoding,CRF,TMO,Temporal,Spatial,Content,SurealMOS
3039,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,Chasing1,66.53833943950633
3040,hlg,39,Durand02TMO,framewise,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Buildings,49.081882399477166
3041,pq,23,DolbyVisionTMO,smooth,None,CargoBoat,56.307868479701334
3042,hlg,31,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Snow2,56.375964220106376
3043,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Flowers,62.369754769971046
3044,pq,23,HableTMO,shot,desat_0.25,Chasing3,56.65717336817144
3045,hlg,23,Rana19TMO,framewise,desat_0.25,Snow2,52.379649329801026
3046,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,CargoBoat,55.80778330370324
3047,pq,31,Eilertsen15TMO,framewise,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Chasing1,57.150410156465554
3048,pq,23,Durand02TMO,shot,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Chasing1,75.2066446581762
3049,hlg,23,Shan12TMO,framewise,wavelet_haar_levels_2,Snow1,56.885818439126986
3050,pq,39,Rana19TMO,smooth,desat_0.75,Chasing1,28.402822075697934
3051,hlg,31,Shan12TMO,shot,wavelet_haar_levels_4,Snow1,53.43985338673993
3052,hlg,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.5,Sunset1,44.894257505742736
3053,pq,31,Shan12TMO,shot,wavelet_haar_levels_2,CargoBoat,37.38082841026723
3054,hlg,31,Shan12TMO,shot,wavelet_haar_levels_1,Lights2,57.581990738905375
3055,hlg,23,Reinhard12TMO,framewise,viewing_cond_neutral,Snow2,60.80865593598731
3056,hlg,23,Rana19TMO,shot,desat_0.25,Buildings,49.879146268049794
3057,hlg,23,Rana19TMO,smooth,desat_0.0,Sunset1,38.6694027631636
3058,hlg,39,HableTMO,framewise,desat_0.0,Snow1,50.32326571973634
3059,pq,39,Rana19TMO,shot,desat_0.5,Chasing3,34.7397116701591
3060,pq,31,Eilertsen15TMO,smooth,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Daylight1,47.68831595255632
3061,pq,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.5,Daylight1,50.83566783480519
3062,pq,31,ITU21TMO,smooth,peak_hdr_100000.0,Chasing1,58.19747503279721
3063,pq,31,Rana19TMO,framewise,desat_0.25,Chasing3,43.26810766931475
3064,hlg,39,Reinhard12TMO,smooth,viewing_cond_neutral,Buildings,50.713334723255294
3065,hlg,39,Reinhard12TMO,smooth,viewing_cond_red,Snow1,44.62970831457951
3066,pq,23,HableTMO,framewise,desat_0.75,Daylight1,47.1476312205836
3067,pq,23,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,CargoBoat,36.6692997688017
3068,hlg,31,Reinhard12TMO,smooth,viewing_cond_neutral,Buildings,60.60105596295215
3069,pq,31,Rana19TMO,smooth,desat_0.0,Chasing3,38.151139668463564
3070,hlg,23,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Sunset1,54.97830757149612
3071,hlg,39,Reinhard12TMO,smooth,viewing_cond_blue,Lights2,50.4385592236207
3072,hlg,31,Reinhard12TMO,smooth,viewing_cond_blue,Lights2,62.29762029619376
3073,hlg,39,Shan12TMO,shot,wavelet_haar_levels_1,Snow2,45.50425681590976
3074,hlg,23,ITU21TMO,smooth,peak_hdr_100000.0,Lights2,54.093413085674186
3075,hlg,39,Shan12TMO,framewise,wavelet_haar_levels_1,Lights2,47.5120584039412
3076,hlg,31,Shan12TMO,smooth,wavelet_haar_levels_2,Lights2,60.41109994839033
3077,hlg,39,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Snow1,41.56996767350377
3078,hlg,39,Reinhard12TMO,framewise,viewing_cond_red,Buildings,50.337274839055915
3079,pq,31,Shan12TMO,framewise,wavelet_haar_levels_2,Daylight1,48.15547589344821
3080,pq,23,Yang21TMO,smooth,desat_0.0,Flowers,56.12264620348043
3081,hlg,39,Eilertsen15TMO,framewise,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunset1,30.556618046811675
3082,hlg,31,Yang21TMO,smooth,desat_0.25,Hockey,44.635897179666934
3083,hlg,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.75,Lights1,47.13066345553703
3084,hlg,23,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Hockey,53.391489877222924
3085,hlg,31,Eilertsen15TMO,framewise,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunset2,46.23504306092533
3086,hlg,39,Rana19TMO,shot,desat_0.5,CoffeeShop,35.318541043464464
3087,pq,31,HableTMO,shot,desat_0.75,Bonfire,33.02329858964967
3088,hlg,39,Shan12TMO,framewise,wavelet_haar_levels_1,Hockey,43.456068307478674
3089,pq,31,DolbyVisionTMO,smooth,None,OfficeBuilding,60.54074735203231
3090,hlg,31,HableTMO,framewise,desat_0.75,Moon,49.12782352250008
3091,pq,39,Oskarsson17TMO,shot,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,UrbanLandmark,30.949994588999626
3092,hlg,31,ITU21TMO,shot,peak_hdr_1000000.0,CoffeeShop,50.70760805891414
3093,hlg,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.0,Sunset2,54.22858192751128
3094,pq,23,Oskarsson17TMO,smooth,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Light4,61.90500600659406
3095,pq,39,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,UrbanLandmark,28.14249046999742
3096,pq,31,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,UrbanLandmark,32.06009210082839
3097,pq,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.75,OfficeBuilding,41.548106399948786
3098,pq,31,Shan12TMO,smooth,wavelet_haar_levels_2,OfficeBuilding,55.084933295894245
3099,pq,39,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Bonfire,48.32964454272738
3100,pq,31,Rana19TMO,framewise,desat_0.0,OfficeBuilding,31.65875825178511
3101,hlg,23,Shan12TMO,framewise,wavelet_haar_levels_2,Sunset2,53.037479716643794
3102,pq,39,Rana19TMO,smooth,desat_0.0,Bonfire,31.262799722246385
3103,hlg,31,ColorTransformTMO,smooth,None,Hockey,46.28937986979455
3104,hlg,39,Rana19TMO,smooth,desat_0.25,CoffeeShop,36.849400217763474
3105,pq,31,HableTMO,smooth,desat_0.5,Light4,60.00558264201494
3106,pq,23,Oskarsson17TMO,framewise,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Light4,61.066850213270754
3107,hlg,39,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Lights1,51.68957277284969
3108,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Light4,54.40157752392787
3109,pq,39,Eilertsen15TMO,smooth,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Bonfire,46.15405769843915
3110,pq,39,ITU21TMO,framewise,peak_hdr_1000.0,Porsche,46.65289874256134
3111,pq,23,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Light4,59.92900400918771
3112,hlg,31,ITU21TMO,framewise,peak_hdr_10000.0,Hockey,48.395302633971234
3113,hlg,31,Reinhard12TMO,framewise,viewing_cond_neutral,Lights1,63.083348984399365
3114,pq,23,ITU21TMO,framewise,peak_hdr_1000000.0,Porsche,60.05958963556141
3115,hlg,31,Reinhard12TMO,smooth,viewing_cond_blue,CoffeeShop,61.59519490034378
3116,hlg,31,Rana19TMO,framewise,desat_0.25,Lights1,49.12122741733651
3117,hlg,23,Reinhard12TMO,shot,viewing_cond_blue,CoffeeShop,58.630126855358704
3118,hlg,23,ITU21TMO,shot,peak_hdr_1000.0,Hockey,55.70511201671662
3119,pq,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Bonfire,57.90351837835984
3120,pq,23,Oskarsson17TMO,shot,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,UrbanLandmark,28.705273960263526
3121,hlg,23,Reinhard12TMO,smooth,viewing_cond_blue,Hockey,55.498732352665876
3122,pq,39,Eilertsen15TMO,smooth,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,OfficeBuilding,47.99206225238083
3123,pq,39,ITU21TMO,smooth,peak_hdr_1000.0,Bonfire,30.528377505848667
3124,pq,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Bonfire,57.24946311446364
3125,pq,31,Oskarsson17TMO,smooth,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,OfficeBuilding,41.73274004306306
3126,hlg,39,Reinhard12TMO,framewise,viewing_cond_red,Moon,40.5099770849128
3127,hlg,23,Yang21TMO,smooth,desat_0.75,Moon,32.58639526226791
3128,hlg,23,Durand02TMO,shot,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Lights1,60.664832677743064
3129,pq,39,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,Light4,53.65481237400198
3130,hlg,39,Reinhard12TMO,smooth,viewing_cond_green,Sunset2,42.955184553822605
3131,pq,39,Oskarsson17TMO,shot,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Porsche,54.503719537015286
3132,hlg,39,Durand02TMO,shot,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunset2,40.41031513073438
3133,hlg,23,Durand02TMO,shot,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Moon,57.15208340363941
3134,pq,31,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,Bonfire,58.53495769010678
3135,hlg,39,Oskarsson17TMO,shot,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Moon,41.61303319006378
3136,hlg,39,Shan12TMO,smooth,wavelet_haar_levels_4,Sunset2,45.37158023901712
3137,pq,31,Reinhard12TMO,shot,viewing_cond_blue,OfficeBuilding,57.722129671437585
3138,hlg,31,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.5,Lights1,53.23418006034998
3139,hlg,31,ITU21TMO,shot,peak_hdr_10000.0,Moon,47.22715116399046
3140,hlg,39,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.75,CoffeeShop,41.01667771961863
3141,pq,23,Shan12TMO,smooth,wavelet_haar_levels_1,UrbanLandmark,37.67591364808193
3142,pq,31,ExpertTM,None,None,Porsche,77.05036731380379
3143,pq,31,HableTMO,framewise,desat_0.0,Porsche,69.1609982110658
3144,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,Light4,59.57401723349486
3145,hlg,31,Durand02TMO,framewise,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Lights1,58.21666396084238
3146,hlg,23,Yang21TMO,shot,desat_0.5,CoffeeShop,48.81613854893011
3147,pq,39,Yang21TMO,framewise,desat_0.25,Light4,50.948785033610044
3148,pq,39,HableTMO,framewise,desat_0.5,Porsche,55.499485527736915
3149,pq,39,Reinhard12TMO,smooth,viewing_cond_blue,UrbanLandmark,45.065338797766785
3150,pq,31,Yang21TMO,shot,desat_0.5,UrbanLandmark,42.90716711025285
3151,pq,31,Yang21TMO,framewise,desat_0.0,OfficeBuilding,48.21504435201745
3152,hlg,23,Durand02TMO,framewise,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Hockey,61.690586256462346
3153,hlg,31,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunset2,55.917524238451584
3154,pq,31,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Porsche,66.93215469639182
3155,hlg,39,Yang21TMO,framewise,desat_0.0,Sunset2,41.39833747691226
3156,hlg,31,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Moon,44.44621324224906
3157,hlg,31,Eilertsen15TMO,shot,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunroom,54.22076854657058
3158,hlg,23,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,StainedGlass,50.088204560652144
3159,pq,23,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Light2,51.32724168571163
3160,hlg,39,ITU21TMO,smooth,peak_hdr_1000.0,StainedGlass,47.94251571643786
3161,pq,39,HableTMO,framewise,desat_0.0,firework,42.795930306874425
3162,hlg,39,ITU21TMO,shot,peak_hdr_1000.0,Trees,55.75525792659887
3163,pq,23,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.0,firework,50.16990114627428
3164,hlg,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,CarPark,53.741642659764864
3165,pq,31,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Light2,32.741220196081215
3166,hlg,23,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,CarPark,59.035534410214936
3167,hlg,31,Shan12TMO,shot,wavelet_haar_levels_3,Nativity,53.89175395601006
3168,hlg,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.75,CarPark,43.33270699871814
3169,hlg,31,Reinhard12TMO,smooth,viewing_cond_neutral,Nativity,62.22456096383479
3170,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,football3,45.85588600129461
3171,pq,31,Rana19TMO,framewise,desat_0.0,football3,38.29770063712971
3172,pq,23,HableTMO,shot,desat_0.25,CenterPanorama,44.87727038011653
3173,hlg,31,Reinhard12TMO,framewise,viewing_cond_neutral,Sunroom,60.34118298867692
3174,hlg,31,Eilertsen15TMO,framewise,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Sunroom,50.79659191775738
3175,pq,31,Shan12TMO,smooth,wavelet_haar_levels_2,firework,34.3326096839548
3176,hlg,31,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Sunroom,51.89169742687193
3177,hlg,23,HableTMO,shot,desat_0.5,StainedGlass,56.44529340075112
3178,pq,39,Durand02TMO,framewise,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,CenterPanorama,31.46084265709111
3179,hlg,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.0,Trees,60.161902221094024
3180,pq,39,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,firework,40.28952926831023
3181,pq,39,Yang21TMO,shot,desat_0.75,football3,29.683309509584422
3182,pq,31,Eilertsen15TMO,framewise,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,golf2,60.17725711904149
3183,hlg,31,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,StainedGlass,62.47411506522468
3184,pq,23,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,football3,67.22830789207059
3185,pq,23,Yang21TMO,shot,desat_0.5,Light2,46.94039090267313
3186,pq,39,Yang21TMO,smooth,desat_0.0,firework,28.269764644331932
3187,pq,31,Shan12TMO,framewise,wavelet_haar_levels_1,Light2,50.81115718154213
3188,pq,23,Oskarsson17TMO,framewise,num_clusters_64_hist_context_7_channelwise_model_weight_0.7,Light2,52.51595106640659
3189,pq,39,Yang21TMO,framewise,desat_0.5,CenterPanorama,41.54525617298605
3190,hlg,39,ITU21TMO,framewise,peak_hdr_10000.0,Sunroom,57.32511345432454
3191,pq,31,ITU21TMO,smooth,peak_hdr_1000.0,football3,34.10309728124911
3192,pq,31,HableTMO,framewise,desat_0.0,CenterPanorama,43.64512795053391
3193,pq,23,Rana19TMO,shot,desat_0.5,CenterPanorama,35.361973540151716
3194,hlg,31,Rana19TMO,smooth,desat_0.5,Trees,44.26786061029228
3195,hlg,31,Rana19TMO,shot,desat_0.25,StainedGlass,55.810839943092944
3196,hlg,23,HableTMO,framewise,desat_0.25,Nativity,52.22327905159365
3197,hlg,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.25,StainedGlass,57.33469310557066
3198,hlg,23,Reinhard12TMO,smooth,viewing_cond_red,Trees,55.64877149387657
3199,hlg,31,Reinhard12TMO,smooth,viewing_cond_red,Nativity,63.77080668893511
3200,pq,31,Rana19TMO,framewise,desat_0.25,golf2,33.22736276229684
3201,hlg,31,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,CarPark,47.53643664459023
3202,hlg,39,HableTMO,framewise,desat_0.75,Nativity,38.344462589161274
3203,hlg,39,Shan12TMO,smooth,wavelet_haar_levels_3,CarPark,50.65452343793745
3204,hlg,23,Rana19TMO,smooth,desat_0.25,Nativity,54.40317432255344
3205,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_10000_downsampling_factor_10_influence_function_gaussian_desat_0.0,football3,47.031166170321335
3206,pq,31,Yang21TMO,framewise,desat_0.75,golf2,46.52621069038429
3207,pq,31,Oskarsson17TMO,framewise,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Light2,50.70814618814293
3208,hlg,39,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Sunroom,47.14088327248059
3209,hlg,39,Shan12TMO,shot,wavelet_haar_levels_1,Nativity,51.344771370000004
3210,hlg,31,Reinhard12TMO,framewise,viewing_cond_green,Trees,59.87950981057851
3211,hlg,31,Shan12TMO,framewise,wavelet_haar_levels_4,Sunroom,54.851200198135636
3212,pq,31,Eilertsen15TMO,smooth,bin_width_0.03_noise_a_5e-08_noise_b_1e-09_desat_0.0,CenterPanorama,56.765908796797994
3213,pq,31,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.75,golf2,44.120610882608915
3214,hlg,23,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.0,CarPark,61.47431225954447
3215,pq,31,Oskarsson17TMO,framewise,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,CenterPanorama,30.989812525395656
3216,hlg,23,Durand02TMO,shot,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Sunroom,67.81757747276279
3217,pq,23,Durand02TMO,shot,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,golf2,58.33929271151822
3218,hlg,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.75,CarPark,37.060099257850595
3219,hlg,39,Shan12TMO,smooth,wavelet_haar_levels_2,Nativity,50.0064585090018
3220,pq,31,Shan12TMO,smooth,wavelet_haar_levels_1,golf2,56.457347380065116
3221,hlg,39,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Trees,48.48637533588229
3222,hlg,23,Reinhard12TMO,framewise,viewing_cond_green,CarPark,55.6681661836027
3223,pq,23,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,football3,33.15290502002361
3224,pq,23,Reinhard12TMO,shot,viewing_cond_green,firework,69.32867819804505
3225,pq,23,Oskarsson17TMO,smooth,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,golf2,43.249834313272885
3226,hlg,23,Shan12TMO,shot,wavelet_haar_levels_2,StainedGlass,58.68951150396312
3227,hlg,39,Yang21TMO,framewise,desat_0.0,Sculpture,37.17354118629201
3228,hlg,31,ITU21TMO,framewise,peak_hdr_1000.0,Sculpture,56.1336098554102
3229,hlg,31,Oskarsson17TMO,shot,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Birds,43.82128430207636
3230,pq,31,Yang21TMO,smooth,desat_0.0,Light3,57.74870256120468
3231,hlg,23,Oskarsson17TMO,smooth,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Blinds,43.95698430888261
3232,pq,39,Reinhard02TMO,shot,key_0.18_mode_global_desat_0.5,NighTraffic,43.17390915272138
3233,hlg,31,Shan12TMO,smooth,wavelet_haar_levels_1,Sculpture,54.81989938986856
3234,hlg,23,Shan12TMO,smooth,wavelet_haar_levels_3,Birds,58.37182517677697
3235,pq,23,Durand02TMO,smooth,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,NighTraffic,60.47180658313901
3236,pq,23,Reinhard12TMO,framewise,viewing_cond_neutral,NighTraffic,69.61549531573925
3237,hlg,23,Rana19TMO,framewise,desat_0.75,Sculpture,46.456103920965376
3238,hlg,23,Oskarsson17TMO,shot,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Fall,53.447627083724065
3239,hlg,39,ITU21TMO,shot,peak_hdr_10000.0,Blinds,41.03315325657924
3240,pq,31,Eilertsen15TMO,shot,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Skyscraper,64.227286872374
3241,hlg,23,Oskarsson17TMO,framewise,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Fall,58.24101410112905
3242,hlg,39,Yang21TMO,shot,desat_0.0,Birds,42.38940649905787
3243,hlg,31,Shan12TMO,shot,wavelet_haar_levels_1,Birds,52.213370342806606
3244,hlg,23,Eilertsen15TMO,smooth,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Birds,45.25146803565834
3245,hlg,23,Eilertsen15TMO,shot,bin_width_0.1_noise_a_5e-08_noise_b_1e-09_desat_0.0,Fall,50.993065959336676
3246,hlg,39,Reinhard12TMO,smooth,viewing_cond_green,Blinds,43.52774434389661
3247,pq,31,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Chasing4,65.54339380976107
3248,pq,23,Rana19TMO,smooth,desat_0.25,Light3,41.00129392251469
3249,hlg,23,Eilertsen15TMO,framewise,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,Snow3,51.62094025739012
3250,hlg,31,ITU21TMO,framewise,peak_hdr_1000000.0,Blinds,48.411288894339194
3251,pq,31,Reinhard12TMO,shot,viewing_cond_green,Skyscraper,62.546055619382884
3252,hlg,39,Durand02TMO,smooth,num_segments_None_base_contrast_10_downsampling_factor_10_influence_function_gaussian_desat_0.0,Snow3,51.41965547497123
3253,pq,39,Durand02TMO,smooth,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Skyscraper,46.10648525527638
3254,hlg,23,HableTMO,framewise,desat_0.75,Sculpture,48.162551305239134
3255,hlg,31,HableTMO,shot,desat_0.25,Blinds,49.89212570636275
3256,pq,23,Yang21TMO,framewise,desat_0.25,NighTraffic,44.45844521039962
3257,pq,23,DolbyVisionTMO,framewise,None,CourtYard,78.62712085618271
3258,pq,31,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.5,CourtYard,59.32440457607644
3259,pq,39,DolbyVisionTMO,smooth,None,CourtYard,68.09122073960737
3260,pq,39,DolbyVisionTMO,framewise,None,Skyscraper,55.10546697441963
3261,hlg,23,ITU21TMO,shot,peak_hdr_100000.0,Snow3,55.51896759382083
3262,hlg,39,Reinhard12TMO,shot,viewing_cond_green,Birds,41.22284322978145
3263,hlg,23,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.0,Blinds,50.43938009678212
3264,hlg,31,Reinhard12TMO,framewise,viewing_cond_blue,Blinds,51.23332954179704
3265,pq,23,Reinhard12TMO,framewise,viewing_cond_blue,Skyscraper,68.03944549781431
3266,hlg,31,Yang21TMO,framewise,desat_0.0,Blinds,44.70693950760745
3267,pq,39,Reinhard12TMO,smooth,viewing_cond_red,Chasing4,45.015631521381046
3268,hlg,31,Oskarsson17TMO,framewise,num_clusters_8_hist_context_7_channelwise_model_weight_0.7,Snow3,44.8400013618329
3269,hlg,31,Rana19TMO,framewise,desat_0.25,Snow3,46.86105691726727
3270,pq,31,Yang21TMO,shot,desat_0.75,Chasing4,43.26532973023622
3271,hlg,23,HableTMO,shot,desat_0.25,Sculpture,59.322705694857596
3272,pq,23,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Light3,58.2399671684045
3273,pq,23,Rana19TMO,shot,desat_0.0,Chasing4,53.46856098721333
3274,pq,39,Yang21TMO,shot,desat_0.5,CourtYard,53.971388716895326
3275,pq,23,Durand02TMO,shot,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,NighTraffic,69.45517198985345
3276,pq,23,Oskarsson17TMO,shot,num_clusters_16_hist_context_7_channelwise_model_weight_0.7,Chasing4,34.034612086591466
3277,hlg,39,Yang21TMO,shot,desat_0.25,Fall,45.814420087989305
3278,pq,23,Rana19TMO,shot,desat_0.25,Chasing4,53.098586234065195
3279,pq,39,Reinhard12TMO,shot,viewing_cond_neutral,Chasing4,45.10401288032056
3280,hlg,39,HableTMO,shot,desat_0.5,Fall,48.712466390386474
3281,pq,31,DolbyVisionTMO,smooth,None,CourtYard,76.2987630059009
3282,pq,23,Eilertsen15TMO,smooth,bin_width_0.3_noise_a_5e-08_noise_b_1e-09_desat_0.0,Light3,57.6439680874468
3283,pq,31,Durand02TMO,shot,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,Skyscraper,60.725750980350014
3284,hlg,31,Yang21TMO,shot,desat_0.5,Snow3,45.76733757745542
3285,hlg,31,Rana19TMO,smooth,desat_0.75,Sculpture,42.17675654710013
3286,hlg,31,Reinhard02TMO,smooth,key_0.18_mode_global_desat_0.25,Birds,50.569299586352436
3287,pq,23,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.25,Light3,62.62981359239412
3288,pq,39,Rana19TMO,framewise,desat_0.0,Skyscraper,32.97734774960725
3289,pq,31,Durand02TMO,framewise,num_segments_None_base_contrast_1000_downsampling_factor_10_influence_function_gaussian_desat_0.0,NighTraffic,55.92112063241185
3290,hlg,39,Durand02TMO,smooth,num_segments_None_base_contrast_100_downsampling_factor_10_influence_function_gaussian_desat_0.0,Snow3,47.844246527347195
3291,pq,39,Rana19TMO,smooth,desat_0.5,Light3,28.479670507923565
3292,hlg,31,Reinhard12TMO,smooth,viewing_cond_green,Fall,60.994151914041225
3293,hlg,23,Shan12TMO,smooth,wavelet_haar_levels_2,Fall,64.81703041053166
3294,pq,31,ITU21TMO,shot,peak_hdr_1000000.0,NighTraffic,47.80165431529047
3295,pq,31,Reinhard12TMO,smooth,viewing_cond_red,Light3,68.04947912717611
3296,pq,39,Eilertsen15TMO,framewise,bin_width_0.01_noise_a_5e-08_noise_b_1e-09_desat_0.0,CourtYard,68.77698192650215
3297,hlg,39,HableTMO,shot,desat_0.25,Fall,54.465494492677735
3298,hlg,39,HableTMO,framewise,desat_0.5,Snow3,41.272266715463104
3299,pq,39,Reinhard02TMO,framewise,key_0.18_mode_global_desat_0.5,Light3,42.61231805137868
3300,hlg,31,Oskarsson17TMO,smooth,num_clusters_32_hist_context_7_channelwise_model_weight_0.7,Birds,49.298714352972794
